year,award_no,date,location,pressented_by,category,honorary_reason,film,song,winner,speech
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",John Grierson,Special Award,NA,Target for Tonight,NA,"To The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film, ""Target for Tonight.""","JOHN GRIERSON:
 The [certificate] for ""Target for Tonight"" I shall take possession of myself for transmission to the British government. I'd like to say of ""Target for Tonight"" that it represents probably a very high level of the humanist tradition in the documentary film; I mean none of the men concerned were actors. Here was a film made actually on the spot and with the airmen themselves. And I'd like to associate with that citation the name of Warner Bros. for having so brilliantly brought this film into this country and given it all their great support.
"
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",Mervyn LeRoy,Special Award,NA,Fantasia,NA,"To Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production, ""Fantasia,"" thereby widening the scope of the motion picture as entertainment and as an art form.",NA
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)",Mervyn LeRoy,Special Award,NA,Fantasia,NA,"To Walt Disney, William Garity, John N. A. Hawkins and the RCA Manufacturing Company for their outstanding contribution to the advancement of the use of sound in motion pictures through the production of ""Fantasia.""",NA
1941,14,1942-02-26,"Biltmore Hotel, Biltmore Bowl (banquet)","February 26, 1942; Biltmore Hotel, Biltmore Bowl (banquet)",Irving G. Thalberg Memorial Award,,NA,NA,Walt Disney,NA
1942,15,1943-03-04,"Ambassador Hotel, Cocoanut Grove (banquet)",Gary Cooper,Actor,NA,Yankee Doodle Dandy,NA,James Cagney,"JAMES CAGNEY:
 Ladies and gentlemen: Very happy. [Audience yells, ""Louder""] I said, ladies and gentlemen – I bend into my work here – very happy, very happy. According to the highly personal quality of our business, I've always had the feeling ever since coming into it, that you can only be as good as the other fellow thinks you are, or, I might add, as bad. And it seemed that quite a number of people have thought a good job has been done, and that makes me very happy. And just one added thought, I might say it was a pretty good part. Thank you.
"
1942,15,1943-03-04,"Ambassador Hotel, Cocoanut Grove (banquet)",Gary Cooper,Actor in a Supporting Role,NA,Johnny Eager,NA,Van Heflin,"VAN HEFLIN:
 Stay here, oh yes, I need you.

 GARY COOPER:
 I'm no help for you.

 VAN HEFLIN:
 Well...I don't know, what did you say when you got it?

 GARY COOPER:
 I spent five minutes sayin' nothin'. Absolutely...

 VAN HEFLIN:
 Well, I'll just say...I'm...I'm so grateful to Mervyn LeRoy for helping me, to Metro-Goldwyn-Mayer, to Mr. Mayer, for giving me a chance, to the New York theater for training me for it. [Laughs] To the Army for letting me come down and get this.
"
1942,15,1943-03-04,"Ambassador Hotel, Cocoanut Grove (banquet)",Joan Fontaine,Actress,NA,Mrs. Miniver,NA,Greer Garson,"[The Academy has newsreel coverage of only portions of Garson's acceptance speech. While it is clear that the opening paragraph is the beginning of her speech, it is not known how the rest of the pieces fit together or the extent of the missing footage.]

 GREER GARSON:
 Ladies and gentlemen, distinguished visitors from the armed forces, Governor Warren, honored guests, Mr. Chairman – Mr. President Chairman: Thank you. That is really all there is to say; but, as this is after all the opportunity of a lifetime, I hope you won't mind if I try to expand that word just, just a little. This is, this is going to be a great evening to remember. We've had some very exciting messages and some very exciting speeches. It should make us all very proud to belong to this great and fascinating industry. Praise from our government and our armed forces and from abroad from our allies for work we have done should make us determined to carry on. We have somehow brought very wide horizons into this room tonight. Anything that I have to say now, which is practically unprepared... [camera cuts]

 As for the nominations, I've always felt that to be nominated simply means that you've had the great good luck to be entrusted with one of the best assignments of the current year, and that's a cause for rejoicing in itself. And there isn't a single good craftsman in this industry who if given such an opportunity can't be counted on to measure up to it. Why do we all long to win the award? It's no question of superiority because we're comparing different excellences and they're varied in their nature and they can't be fairly compared. There's no rivalry in this room tonight. There's no competition. As the Dodo said to Alice in Wonderland: ""Everybody has won and everybody shall have a prize."" The nominations are really the prizes. The award...I, I can hardly believe that it's really for me tonight. It's always seemed to me something very personal, a gesture from the men and women of this industry who choose to show not only recognition of, of work... [camera cuts]

 Ladies and gentlemen, I came to this country as a stranger five years ago. I've been very happy and very proud to be a member of this community and of this industry all that time. And from everybody I met or worked with truly I have received such ready kindness that for quite a long while I couldn't believe that it was true, but tonight you have made me feel that you have really set the door of your friendship wide open and that welcome is officially on the mat, and that is why I'm so happy. [camera cuts]

 ...very humbly, very gratefully I say thank you and I step across your threshold. There... [camera cuts]

 ...if I may say so, the girl who's always on the sidelines, my quite specially wonderful little mother. And after her, Sidney Franklin the great, the inimitable Willy Wyler... [camera cuts]
"
1942,15,1943-03-04,"Ambassador Hotel, Cocoanut Grove (banquet)",Joan Fontaine,Actress in a Supporting Role,NA,Mrs. Miniver,NA,Teresa Wright,"TERESA WRIGHT:
 Thank you. I wish Major Wyler were here tonight so I could thank him first for his splendid direction. And I'd like to thank Mr. Mayer and Mr. Franklin for giving me the part. And I'd like to thank the people who gave me this because they're the people I work with and therefore it's doubly thrilling to get it from them. Thank you.
"
1942,15,1943-03-04,"Ambassador Hotel, Cocoanut Grove (banquet)",Frank Capra,Directing,NA,Mrs. Miniver,NA,William Wyler,"MARGARET TALLICHET WYLER:
 Thanks so much, everybody. It makes me very happy to accept the award for Willy. I wish he could be here. He's wanted an Oscar for a long time and I know it would thrill him an awful lot to be here. Probably as much as that fight over [unintelligible] did. Thank you so much.
"
1942,15,1943-03-04,"Ambassador Hotel, Cocoanut Grove (banquet)",William Goetz,Outstanding Motion Picture,NA,Mrs. Miniver,NA,Metro-Goldwyn-Mayer,"LOUIS B. MAYER:
 Thank you, Bill. It's a double pleasure and an honor to receive this award at your hands. I wished I had an Oscar to give you, but I can give you my blessings and tell you I'm proud to have you as my son and wish you all the continued happiness and the glories that'll be yours, because I've had mine. This industry's been awfully good to me, and may you follow in my footsteps and be greater than I ever was, which I'm sure you will be. Thank you. [camera cuts]

 I feel that this statuette should go to that grand artistic person who was the producer of that picture. He's not here tonight because it was necessary, most necessary, to have him sent away for a rest. The director received the award for the direction; and properly so. I think Mervyn should've had one, too, for ""Random Harvest."" [camera cuts]

 ...for the screenplay, the cameraman for the photography. And if Sidney was here, he'd say, ""Well, with such writers and an author who had a grand set of characters and a grand idea, with such direction, and with such stars and supporting cast, anybody could've done it."" I've been there, and I tell you that this statue should go to Sidney Franklin. Thank you.
"
1943,16,1944-03-02,Grauman's Chinese Theatre,Teresa Wright,Actress in a Supporting Role,NA,For Whom the Bell Tolls,NA,Katina Paxinou,"KATINA PAXINOU:
 Ladies and gentlemen, allow me to share this great honor with, which is bestowed on me tonight, with my colleagues of the Royal Theatre of Athens whom, whether they are now dead or alive, fate has ordained me to represent here. I am deeply moved and I wish to thank Paramount, who offered me the chance to play ""Pilar,"" Mr. Buddy DeSylva, my director Sam Wood, and all those who, who are responsible for this happy moment. I would like to thank also the voters and the committee of the Academy Award for giving me, besides this honor, the opportunity to send through the air my, my deep love and admiration to the heroic boys, to the heroic soldiers of your great nation, the American boys who are fighting with their allies all over the world for liberty, justice and human dignity. Thank you again.
"
1946,19,1947-03-13,Shrine Civic Auditorium,Joan Fontaine,Actor,NA,The Best Years of Our Lives,NA,Fredric March,"CATHY O'DONNELL:
 I'm sorry that Mr. March couldn't be here for this award, but I guess you know that he's in New York in a very successful play. I think Mr. March was wonderful in ""The Best Years of Our Lives"" and I'm glad you did, too. So I want to thank you for Mr. March. Thank you.
"
1946,19,1947-03-13,Shrine Civic Auditorium,Anne Revere,Actor in a Supporting Role,NA,The Best Years of Our Lives,NA,Harold Russell,"HAROLD RUSSELL:
 Thank you very much. Two in a night is just too much! Thanks a lot.
"
1946,19,1947-03-13,Shrine Civic Auditorium,Ray Milland,Actress,NA,To Each His Own,NA,Olivia de Havilland,"OLIVIA DE HAVILLAND:
 Since I value highly the profession which has instructed me, rewarded me, and permitted me my share of the world's work, it will understand and forgive me, I know, for the very great pride I feel in receiving this symbol of its approbation, one of the Awards of Merit, for my part in this past year, what has been done. But even in this wonderful moment my common sense reminds me quite clearly that most of the work that went into earning this award was not done by Olivia de Havilland at all, but by a big team of other people who, if justice were really to prevail, would be standing up here beside me now. When I think of the writer who created ""Jody Norris,"" and how much of her sprang from the heart and mind of the director. When I remember the businessmen who found and managed the money which produced her and distributed her. And how she grew under the talents and skills of the technicians: the cameraman, the makeup man, the hairdresser, the costumer. And then I think how much the musicians did for her. Then I feel humble too, as well as proud, to accept this award which I do in the name of my team as well as my own. Thank you.
"
1946,19,1947-03-13,Shrine Civic Auditorium,Lionel Barrymore,Actress in a Supporting Role,NA,The Razor's Edge,NA,Anne Baxter,"ANNE BAXTER:
 I want to thank all the Academy members for this very great honor. And I'd like to present my appreciation to Mr. Zanuck for the opportunity to play ""Sophie."" And above all, my deepest thanks to Mr. Eddie Goulding, without whose fine direction and understanding ""Sophie"" never would have been. I'm deeply grateful. Thank you again.
"
1946,19,1947-03-13,Shrine Civic Auditorium,Billy Wilder,Directing,NA,The Best Years of Our Lives,NA,William Wyler,"WILLIAM WYLER:
 I'm deeply grateful and very happy that the picture was liked so much. Thank you.
"
1946,19,1947-03-13,Shrine Civic Auditorium,Shirley Temple,Special Award,NA,The Best Years of Our Lives,NA,"To Harold Russell for bringing hope and courage to his fellow veterans through his appearance in ""The Best Years of Our Lives.""","HAROLD RUSSELL:
 Thank you, ladies and gentlemen. This is the proudest and happiest moment of my life. I wish to sincerely thank Mr. Wyler and Mr. Goldwyn and all the other wonderful people who helped me so much in the picture ""The Best Years of Our Lives."" Shirley [Temple], I'd like to accept this trophy in the name of all those thousands of disabled veterans who are laying in hospitals all over the country. Thank you very much.
"
1946,19,1947-03-13,Shrine Civic Auditorium,"March 13, 1947; Shrine Civic Auditorium",Special Award,", ., outstanding child actor of 1946.",NA,NA,Claude Jarman Jr,NA
1946,19,1947-03-13,Shrine Civic Auditorium,Eric Johnston,Best Motion Picture,NA,The Best Years of Our Lives,NA,Samuel Goldwyn Productions,"SAMUEL GOLDWYN:
 Ladies and gentlemen, as you know, no one man makes a fine picture; it takes a great many people, great collaboration. And I want to express my deep appreciation to Mr. MacKinlay Kantor who wrote the original story. To Mr. Sherwood, for his brilliant adaptation. To Mr. Wyler, for the greatest direction I have seen for a motion picture so far. To Mr. Freddie March; to Miss Myrna Loy; to Mr. Dana Andrews; to Miss Teresa Wright; to Miss Mayo, Virginia Mayo; to Miss Cathleen O'Donnell; to Mr. Hugo Carmichael; to Mr. Russell. We all deeply appreciate the honor that you bestowed in voting ""The Best Years of Our Lives"" the Best Picture of the Year. I thank you.
"
1946,19,1947-03-13,Shrine Civic Auditorium,"March 13, 1947; Shrine Civic Auditorium",Irving G. Thalberg Memorial Award,,NA,NA,Samuel Goldwyn,NA
1947,20,1948-03-20,Shrine Civic Auditorium,Olivia de Havilland,Actor,NA,A Double Life,NA,Ronald Colman,"RONALD COLMAN:
 Ladies and gentlemen, I am very happy and very proud and very lucky. Lucky because I know I wouldn't be standing on this stage tonight without the grand contributions of so many others. A great script and a great part from Ruth Gordon and Garson Kanin. The wonderful help of George Cukor, Michael Kanin and Bill Goetz. And I'm not forgetting a splendid cast and all the departments that gave their skill and talents to making this picture. So, to all of them especially, my deepest gratitude. And to you, ladies and gentlemen, my warmest thanks.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Anne Baxter,Actor in a Supporting Role,NA,Miracle on 34th Street,NA,Edmund Gwenn,"EDMUND GWENN:
 Whoow! Now I know there's a Santa Claus. Oh, you may laugh, ladies and gentlemen. It's not so easy to be certain, you know. He's a most elusive little fellow. He turns up in all sorts of places under all sorts of names and disguises. First time I ever met him he told me his name was George Seaton. And wonderfully, George Seaton has his revenge by bringing him to life. About a year and a half ago he suddenly turned up in Culver City and told me his name was Metro-Goldwyn-Mayer. That was the day Metro agreed to loan me to Fox to make the picture. And now I think it's time Santa Claus added a word to his name. I think he ought to call himself Santa Claus, Incorporated. Santa Claus, Inc. Inc.! For then he would embrace all you wonderful, kind people who have done me the honor of making me stand here tonight. Thank you, all of you, for making the evening of my life such a happy one. Thank you.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Fredric March,Actress,NA,The Farmer's Daughter,NA,Loretta Young,"LORETTA YOUNG:
 [Taps three times on the microphone.] That's my heart. You know, up until now, presentations of the Academy Awards has been a purely spectator sport for me. However, tonight I, uh, dressed for the stage just in case.

 But in all honesty, I suppose I couldn't expect to be more elated than I was when I heard I was nominated, because I had seen and I knew the beautiful jobs done by the other four nominees: Rosalind's vitality and her great technical skill in bringing that classic character to life; Joan's expert craftsmanship in ""Possessed""; and the magic and delicacy that Dorothy McGuire brings to any role, and particularly in this one; and the superb artistry of Susan Hayward who succeeded in turning a very difficult characterization into an authentic character and a personal triumph. Yes, yes, I think my great thrill was when ""Katie"" was voted into that class. Course, we all know there wouldn't have been any ""Katie"" if it hadn't have been beautifully written and directed and photographed and... and magnificently produced by Mr. Dore Schary. For my part, I am thankful to have been in a picture that made so many people think fondly and possessively of their country, and of our industry that can give them those thoughts.

 And as for you [looking at Oscar], at long last! Good night and God bless you.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Donald Crisp,Actress in a Supporting Role,NA,Gentleman's Agreement,NA,Celeste Holm,"CELESTE HOLM:
 Thank you, Mr. Crisp. Ladies and gentlemen, I have thought before tonight that I had already received the greatest award that an actress can have, which is to play a part in a picture in which one so wholeheartedly believes as ""Gentleman's Agreement."" Thank you, everybody, for making this happen. I am very proud to be a member of an industry which can promote so much understanding in a world which seems to need it so much.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Dick Powell,Art Direction (Black-and-White),NA,Great Expectations,NA,Art Direction: John Bryan; Set Decoration: Wilfred Shingleton,"JEAN SIMMONS:
 Ladies and gentlemen, this is a perfect climax to a wonderful but very short stay in Hollywood. And on behalf of the people for ""Great Expectations"" I do thank you very, very much.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Dick Powell,Art Direction (Color),NA,Black Narcissus,NA,Art Direction: Alfred Junge; Set Decoration: Alfred Junge,"JEAN SIMMONS:
 All I can say again is thank you. I know they'll be very, very proud. Thank you.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Agnes Moorehead,Cinematography (Color),NA,Black Narcissus,NA,Jack Cardiff,"JEAN SIMMONS:
 Thank you very much.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Agnes Moorehead,Cinematography (Black-and-White),NA,Great Expectations,NA,Guy Green,"JEAN SIMMONS:
 Thank you.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Donald Crisp,Directing,NA,Gentleman's Agreement,NA,Elia Kazan,"ELIA KAZAN:
 Thank you all very much. I guess being a comparative newcomer to the industry I'm more grateful for the help I needed and received. My debt to Laura Hobson and Darryl and Moss Hart are obvious, but Oscar here ought to be covered with the names of the men and women who every day on every shot helped me make this picture. And I want to especially mention Artie Miller and Harmon Jones and let them know, here and now, how grateful I am for their help. And thank you all, of course.
"
1947,20,1948-03-20,Shrine Civic Auditorium,"March 20, 1948; Shrine Civic Auditorium",Special Award,"N. , E. , and K. (one of) the small group of pioneers whose belief in a new medium, and whose contributions to its development, blazed the trail along which the motion picture has progressed, in their lifetime, from obscurity to world-wide acclaim.",NA,NA,Colonel William Selig Albert Smith Thomas Armat George Spoor,NA
1947,20,1948-03-20,Shrine Civic Auditorium,Fredric March,Best Motion Picture,NA,Gentleman's Agreement,NA,20th Century-Fox,"DARRYL F. ZANUCK:
 I am very proud to be here tonight. I was at the first Academy Award banquet, as we called it then, twenty years ago. I was proud just to be at a remote table in the back of the room at that time. I'm proud to be here. I want to thank Laura Hobson for writing the book. I want to thank Moss Hart for his screenplay. And I've already joined with you in thanking our wonderful director. I also want to thank all of the members of the cast; our editor, Harmon Jones; Artie Miller, that wonderful cameraman. This is my second time; I'm going to keep on trying. I was very disappointed once a number of years ago with a picture that I know you'll forgive me for mentioning tonight because this makes up for that disappointment. ""Gentleman's Agreement"" makes up for a lot of them. But for that picture, forgive me for mentioning it and I only do so because it still remains a picture of which I am proud, ""Wilson."" Thank you.
"
1947,20,1948-03-20,Shrine Civic Auditorium,Shirley Temple,Short Subject (Cartoon),NA,Tweetie Pie,NA,"Edward Selzer, Producer","EDWARD SELZER:
 I'll take a minute because cartoons have saved many a show before.

 In accepting this award, I'm naturally thrilled, but I accept it for the entire Warner Bros. Cartoon Studio. It might interest you to know that in production of this ""Tweetie Pie,"" 85 percent of our personnel were directly connected with its construction. However, the one man who really should be up here getting this award and not me, is the director of the picture, Friz Freleng, who is in the audience. I can't pay him too great a tribute. Thank you.
"
1949,22,1950-03-23,RKO Pantages Theatre,Jane Wyman,Actor,NA,All the King's Men,NA,Broderick Crawford,"BRODERICK CRAWFORD:
 If my heart would stop beating for a minute... Mr. Douglas said I was to thank nobody; I would like to thank all of you, and especially thank God.
"
1949,22,1950-03-23,RKO Pantages Theatre,Claire Trevor,Actor in a Supporting Role,NA,Twelve O'Clock High,NA,Dean Jagger,"DEAN JAGGER:
 You shouldn't do that much of that. They suggested that if you had anything to say if you were lucky enough to get up here and get one of these wonderful things, you keep it to fifteen seconds, I believe it was. I can think of a lot of things I'd love to say and I couldn't say 'em in fifteen seconds. I would like to say this, because I hear a lot of kidding about what people say when they get one of these, but you do feel grateful to a few people that helped you to. And I would like to say to a man by the name of Darryl Zanuck, who's given me a couple pretty wonderful opportunities, to Henry King, a fine man and a great director, I'm very grateful. And I feel as emotional as the dickens about it. Thank you very much.
"
1949,22,1950-03-23,RKO Pantages Theatre,James Stewart,Actress,NA,The Heiress,NA,Olivia de Havilland,"OLIVIA DE HAVILLAND:
 Your award for ""To Each His Own"" I took as an incentive to venture forward. Thank you for this very generous assurance that I have not entirely failed to do so.
"
1949,22,1950-03-23,RKO Pantages Theatre,Ray Milland,Actress in a Supporting Role,NA,All the King's Men,NA,Mercedes McCambridge,"MERCEDES McCAMBRIDGE:
 I'm aware of those who have contributed to this moment, and thankful for them, but I would like to say to every waiting actor: Hold on! Look what can happen. Thank you very much.
"
1949,22,1950-03-23,RKO Pantages Theatre,Ida Lupino,Directing,NA,A Letter to Three Wives,NA,Joseph L. Mankiewicz,"JOSEPH L. MANKIEWICZ:
 Thank you, brother Lupino. Miss Lupino's name, incidently, on the membership list of the Screen Directors Guild is Irving Lupino. That way we can keep the same informal tone to our meetings and there's the building cost to be considered.

 Ladies and gentlemen, this is something for which nobody in all honesty can be prepared. I am not prepared. This is a great honor and I am deeply appreciative. Thank you.
"
1949,22,1950-03-23,RKO Pantages Theatre,James Cagney,Best Motion Picture,NA,All the King's Men,NA,Robert Rossen Productions,"ROBERT ROSSEN:
 It's been a long evening, I just can't talk. Thanks very much. And despite the fact that Douglas, Mr. Paul Douglas, said that I shouldn't thank anyone, I'd like to thank all of the people who contributed to this picture all over again, and all of you. Thank you again.
"
1949,22,1950-03-23,RKO Pantages Theatre,Ginger Rogers,Special Award,for his unique artistry and his contributions to the technique of musical pictures.,NA,NA,Fred Astaire,"GINGER ROGERS
 He's not in Hollywood tonight. His Special Award caught him off base. However, he was reached in New York this noon, and right now he's supposed to be at the other end of a special Hollywood-New York circuit. Can you hear us, Fred? Can you hear us there in New York? Fred Astaire?

 FRED ASTAIRE:
 Can I, can I hear you? Oh, brother!

 GINGER ROGERS:
 And the music, Fred. Can you hear that too?

 FRED ASTAIRE:
 Yes indeed I can, Ginger. And of course I, I, I just don't know what to say. It's wonderful. I'm so thrilled. I'm ready to do handsprings myself down Madison Avenue. I'm very proud and very grateful. And as for you, Ginger, you've been much too gracious. Remember, I've had a partner.

 GINGER ROGERS:
 Thanks, Fred, but that's not what it says here on the Oscar. It says in big letters: To Fred Astaire.

 FRED ASTAIRE:
 Now for goodness sakes, Ginger, don't let anything happen to it, will ya? I'll tell you what, I heard George Murphy on the show. If he's still in the house would you ask Murph to please accept the award for me. Thanks, Ginger. And God bless you all. Goodbye.
"
1950,23,1951-03-29,RKO Pantages Theatre,Helen Hayes,Actor,NA,Cyrano de Bergerac,NA,José Ferrer,"JOSÉ FERRER [in New York]:
 Hello, ladies and gentlemen three thousand miles away. Hello, my dear, beloved Helen Hayes, how wonderful to hear your voice. And I know it's kind of conventional to thank people, but I'm gonna be conventional because I'm sincere. All of you who are connected with this picture – Stanley, Mike, Carl, Frank Planer, George, Mala, Bill Prince, Morris Carnovsky, all of you – you know as well as I do that it's your Oscar as much as it is mine. Also, to you, ladies and gentlemen of the Academy who voted for me, you must know that this means more to me than just the honor accorded to an actor, and from the bottom of my heart I thank you for what I consider a vote of confidence and an act of faith. And believe me, I will not let you down. And one more thing. I think the most important winner of all tonight is the man with the long nose himself who has ridden victoriously through the pages of dramatic literature for over fifty years, and this is just the beginning for Cyrano de Bergerac. Thank you very much.

 HELEN HAYES [in Hollywood]:
 Joe, I'm taking your Oscar and I'm gonna hang on to it for you, and congratulations from us all.
"
1950,23,1951-03-29,RKO Pantages Theatre,Mercedes McCambridge,Actor in a Supporting Role,NA,All about Eve,NA,George Sanders,NA
1950,23,1951-03-29,RKO Pantages Theatre,Broderick Crawford,Actress,NA,Born Yesterday,NA,Judy Holliday,"ETHEL BARRYMORE:
 I'm very honored to be asked to accept this award for Judy Holliday for her radiant performance in ""Born Yesterday."" I don't know exactly what she wants me to say but I think it's safe to say that she's very happy and very grateful. Thank you.
"
1950,23,1951-03-29,RKO Pantages Theatre,Dean Jagger,Actress in a Supporting Role,NA,Harvey,NA,Josephine Hull,"JOSEPHINE HULL:
 How wonderful of you. Thank you all very much, and Mr. Brackett and all of the Academy. I've heard of these wonderful occasions for years and this is the first time I've been here. I must thank that 6 foot 4½ inch ""Harvey"" [pointing up to a tall nothing standing beside her]. ""Harvey"" has brought happiness for the past seven years all the way from Boston and New York, and here, which is the gateway to the world through Universal International. And they gave us a wonderful director, a wonderful staff, a wonderful cast, and you. Thank you.
"
1950,23,1951-03-29,RKO Pantages Theatre,Leo McCarey,Directing,NA,All about Eve,NA,Joseph L. Mankiewicz,NA
1950,23,1951-03-29,RKO Pantages Theatre,Dr. Ralph Bunche (1950 Nobel Peace Prize winner),Best Motion Picture,NA,All about Eve,NA,20th Century-Fox,"DARRYL F. ZANUCK:
 Thank you very much. I've said it all, and I want to thank again everyone at 20th Century-Fox, and particularly I want to thank someone that you've already well rewarded tonight. Thank you, Joe.
"
1950,23,1951-03-29,RKO Pantages Theatre,Phyllis Kirk,Short Subject (Two-reel),NA,In Beaver Valley,NA,"Walt Disney, Producer",NA
1951,24,1952-03-20,RKO Pantages Theatre,Greer Garson,Actor,NA,The African Queen,NA,Humphrey Bogart,"HUMPHREY BOGART:
 It's a very long way from the heart of the Belgian Congo to the stage of the Pantages Theatre, and I'm very glad to say that it's a little nicer here than it was there. I just want to pay a slight, as a matter of fact a very big tribute to Mr. John Huston and Miss Katharine Hepburn, because they helped me to be where I am now. Thank you very much.
"
1951,24,1952-03-20,RKO Pantages Theatre,Claire Trevor,Actor in a Supporting Role,NA,A Streetcar Named Desire,NA,Karl Malden,"KARL MALDEN:
 I haven't much to say because I haven't been here very long, but I can tell you how I feel: great. Thank you.
"
1951,24,1952-03-20,RKO Pantages Theatre,Ronald Colman,Actress,NA,A Streetcar Named Desire,NA,Vivien Leigh,"GREER GARSON:
 It's an honor and a thrill to accept this for you, Vivien. I hope you're listening in New York. We're all very excited about it. God bless you and congratulations. I know she would want to thank you if she were here herself.
"
